Nombre,Descripcion_del_producto,Precio,Imagen
Sopa maravilla Hacendado,Sobre 85 g,"0,65 €",https://prod-mercadona.imgix.net/images/bc507cef97af6e14a89330bf4bb0f5a1.jpg?fit=crop&h=300&w=300
Tallarines Formaggio Hacendado salsa cremosa de queso,Sobre 190 g,"1,30 €",https://prod-mercadona.imgix.net/images/f8a3b91d92987e1adc12eceb5bc8b498.jpg?fit=crop&h=300&w=300
Caldo para paella de carne Hacendado con sofrito,Brick 1 L,"2,25 €",https://prod-mercadona.imgix.net/images/d69777995b5bddf4e4aed697ce962d6b.jpg?fit=crop&h=300&w=300
Caldo de pescado Hacendado en pastillas,Caja 12 ud. (120 g),"0,85 €",https://prod-mercadona.imgix.net/images/81d35b86e5c061271c71818d74147e5a.jpg?fit=crop&h=300&w=300
Sopa de cebolla Hacendado,Sobre 43 g,"0,65 €",https://prod-mercadona.imgix.net/images/f6be8613a425b516fbe77fd9df0a10b0.jpg?fit=crop&h=300&w=300
Sopa de cocido Hacendado,Sobre 72 g,"0,65 €",https://prod-mercadona.imgix.net/images/d84fcd1b62a974ec59082c67826872e8.jpg?fit=crop&h=300&w=300
Sopa de miso,Paquete 3 ud.,"2,25 €",https://prod-mercadona.imgix.net/images/7448c22256e27b0027e75e96454b3802.jpg?fit=crop&h=300&w=300
Sopa de verduras Hacendado,Sobre 51 g,"0,65 €",https://prod-mercadona.imgix.net/images/a7095803b62fbd9c3b2ddb12e5449588.jpg?fit=crop&h=300&w=300
Mascarilla Repair & Nutrition Deliplus cabello seco y dañado,Tarro 400 ml,"2,05 €",https://prod-mercadona.imgix.net/images/2bc7fb398a42451c1cbaeeef60150445.jpg?fit=crop&h=300&w=300
Acondicionador Suavidad y Brillo Deliplus todo tipo de cabello,Botella 1 L,"1,60 €",https://prod-mercadona.imgix.net/images/db02dfc2d9b30985330a9c227eab7966.jpg?fit=crop&h=300&w=300
Mascarilla Argan Oil Deliplus cabello seco y dañado,Tarro 400 ml,"2,50 €",https://prod-mercadona.imgix.net/images/69535911aa579be31ea77fe45d2a4c28.jpg?fit=crop&h=300&w=300
Acondicionador Repair & Nutrition Deliplus cabello seco y dañado,Bote 300 ml,"1,40 €",https://prod-mercadona.imgix.net/images/d4104f4e2c5072b09ea5894d8cdd7ba1.jpg?fit=crop&h=300&w=300
Mascarilla Repara & Protege Pantene cabello dañado y seco,Tarro 200 ml,"2,85 €",https://prod-mercadona.imgix.net/images/2e40829f4c4df66e04275f490f1f66aa.jpg?fit=crop&h=300&w=300
Acondicionador Repara & Protege Pantene,Bote 250 ml,"4,00 €",https://prod-mercadona.imgix.net/images/7048088d522bc15f6cb460ec8d3cd881.jpg?fit=crop&h=300&w=300
Acondicionador instantaneo Repair & Nutrition Deliplus cabello seco y dañado,Botella 400 ml,"2,50 €",https://prod-mercadona.imgix.net/images/d3a954964a64124dd51a75dcac685c44.jpg?fit=crop&h=300&w=300
Mascarilla Plex Repair Deliplus cabello muy dañado,Bote 200 ml,"2,50 €",https://prod-mercadona.imgix.net/images/c9254412af11fc74da2098ebb259cb40.jpg?fit=crop&h=300&w=300
Mascarilla Curl Perfect Deliplus cabello rizado,Tarro 400 ml,"2,50 €",https://prod-mercadona.imgix.net/images/53f08dd7c5d38f39c69e6dfbd0c34c8a.jpg?fit=crop&h=300&w=300
Acondicionador instantaneo Kids Deliplus,Bote 250 ml,"1,70 €",https://prod-mercadona.imgix.net/images/0d9ec8b8d2a8fd84f5e28a8a8ca8dc57.jpg?fit=crop&h=300&w=300
Laca cabello Xtra Forte Deliplus fijacion 4,Spray 400 ml,"2,00 €",https://prod-mercadona.imgix.net/images/dd35abf51df26c814a1acbb114896a7e.jpg?fit=crop&h=300&w=300
Gel activador de rizos cabello Curl Perfect Deliplus fix 3,Bote 200 ml,"2,95 €",https://prod-mercadona.imgix.net/images/ffe5c0c75e6f6b5d9be39c77814521cc.jpg?fit=crop&h=300&w=300
Agua de peinado cabello Aqua Styling Deliplus,Spray 200 ml,"2,10 €",https://prod-mercadona.imgix.net/images/9182a1bc5ffa4a841f5d7dbcf5e55ad8.jpg?fit=crop&h=300&w=300
Laca cabello Nelly,Spray 400 ml,"2,35 €",https://prod-mercadona.imgix.net/images/f22c942ec615c32dd83e6ed1a4cb10b3.jpg?fit=crop&h=300&w=300
Polvos voluminizador para el cabello Volum Fix Deliplus mate fijacion 4,Bote 10 g,"3,95 €",https://prod-mercadona.imgix.net/images/c847e4510ad30285f1a9e8af6e18f293.jpg?fit=crop&h=300&w=300
Espuma cabello Rizos Definidos Pantene fijacion 5,Spray 250 ml,"4,25 €",https://prod-mercadona.imgix.net/images/fb151995476f61e490ea07cd2abc60e8.jpg?fit=crop&h=300&w=300
Protector térmico cabello Termo Protect Deliplus,Spray 200 ml,"3,00 €",https://prod-mercadona.imgix.net/images/89cfa6414f496a56d45bb91fbcf56bab.jpg?fit=crop&h=300&w=300
Gel fijador cabello extra fuerte Giorgi fijacion 3,Bote 170 ml,"2,95 €",https://prod-mercadona.imgix.net/images/23d0595e9ef7c005fb388830a3fecf0e.jpg?fit=crop&h=300&w=300
Espuma cabello Rizos Descarados Giorgi fijacion 4,Spray 250 ml,"2,95 €",https://prod-mercadona.imgix.net/images/94a89d266bf85a77dca9224ad7a252ce.jpg?fit=crop&h=300&w=300
Laca cabello Xtra Forte Deliplus fijacion 4,Spray 75 ml,"1,10 €",https://prod-mercadona.imgix.net/images/c55516eba6bfdf2751a715637d61e5ec.jpg?fit=crop&h=300&w=300
Laca cabello Ultra Fuerte Pantene fijacion 5,Spray 300 ml,"4,25 €",https://prod-mercadona.imgix.net/images/80b61c92bd094d1ad91678f9f4c22308.jpg?fit=crop&h=300&w=300
Laca cabello Forte Deliplus fijacion 3,Spray 400 ml,"2,00 €",https://prod-mercadona.imgix.net/images/69206f7ae9b5b5e6706fc4b1c42de143.jpg?fit=crop&h=300&w=300
Espuma cabello Xtra Forte Deliplus fijacion 4,Bote 300 ml,"1,90 €",https://prod-mercadona.imgix.net/images/c847f94da8673900542804758648ed15.jpg?fit=crop&h=300&w=300
Espuma cabello Ondas Curly Deliplus fijacion 3,Bote 300 ml,"2,30 €",https://prod-mercadona.imgix.net/images/5a85c04ed33944cb98c88aba201df28e.jpg?fit=crop&h=300&w=300
Gel fijador cabello Forte Deliplus fijacion 3,Bote 400 ml,"1,60 €",https://prod-mercadona.imgix.net/images/ea0a15bbffe2c4161d0af5f279a4bfea.jpg?fit=crop&h=300&w=300
Gel fijador cabello control total Giorgi fijacion 5,Bote 170 ml,"2,95 €",https://prod-mercadona.imgix.net/images/1f7e3144e4006e5ee13accc06f8cef5b.jpg?fit=crop&h=300&w=300
Gel fijador cabello Xtra Forte Deliplus fijacion 4,Bote 250 ml,"1,60 €",https://prod-mercadona.imgix.net/images/3bf0d8699eabb9a1afafa56f7ed88425.jpg?fit=crop&h=300&w=300
Spray cabello Ondas Surfing Deliplus,Spray 200 ml,"2,40 €",https://prod-mercadona.imgix.net/images/1d2ef9d933d8e42023c36e40270dc79b.jpg?fit=crop&h=300&w=300
Cera cabello Mate Deliplus fijacion 4,Bote 100 ml,"3,10 €",https://prod-mercadona.imgix.net/images/d3622a4ef7c0df6fd3bcd1f88a48c01c.jpg?fit=crop&h=300&w=300
Mousse fijador cabello Deliplus fijacion 2,Bote 200 ml,"2,60 €",https://prod-mercadona.imgix.net/images/fbdbf7d76a949cd323db77e5f9051a67.jpg?fit=crop&h=300&w=300
Laca cabello Elnett fijacion fuerte,Spray 400 ml,"5,95 €",https://prod-mercadona.imgix.net/images/ba41eb1acee152ed2b2f43969a99928d.jpg?fit=crop&h=300&w=300
Gel fijador de rizos cabello Curl Control Syoss,Bote 250 ml,"3,95 €",https://prod-mercadona.imgix.net/images/40ae4670ef16700283a8f704d0cf2e66.jpg?fit=crop&h=300&w=300
Cera cabello Brillo Deliplus fijacion 4,Bote 100 ml,"3,10 €",https://prod-mercadona.imgix.net/images/e9361b211f2736f720bd45809a92f83e.jpg?fit=crop&h=300&w=300
Gel fijador cabello X-trem Deliplus fijacion 6,Bote 250 ml,"1,60 €",https://prod-mercadona.imgix.net/images/bc3a588e6034fb38bfbf89a4e4e05efc.jpg?fit=crop&h=300&w=300
Gel fijador cabello Wet Shine Fructis fuerte 02,Bote 250 ml,"2,75 €",https://prod-mercadona.imgix.net/images/8b1cf69e9be336e87119a64bcdd4ea04.jpg?fit=crop&h=300&w=300
